=========== randoop0 ===========
					soot		eclemma		diff
Stmt_Subject$ArrayTasks.txt: 		97.7		97.5		0.2
Stmt_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Stmt_Subject$CharTasks.txt: 		90.9		93.0		-2.1
Stmt_Subject$FilenameTasks.txt: 	49.7		49.6		0.1
Stmt_Subject$GregorianTasks.txt: 	83.3		85.8		-2.5
Stmt_Subject$NumberTasks.txt: 		38.1		38.4		-0.3
Stmt_Subject$StringTasks.txt: 		74.0		76.0		-2.0
Stmt_Subject.txt: 			59.5		62.4		-2.9

Branch_Subject$ArrayTasks.txt: 		95.4		95.5		-0.1
Branch_Subject$BooleanTasks.txt: 	100.0		100.0		0.0
Branch_Subject$CharTasks.txt: 		83.3		70.8		12.5
Branch_Subject$FilenameTasks.txt: 	39.7		24.7		15.0
Branch_Subject$GregorianTasks.txt: 	84.0		84.0		0.0
Branch_Subject$NumberTasks.txt: 	27.3		23.3		4.0
Branch_Subject$StringTasks.txt: 	70.3		63.2		7.1
Branch_Subject.txt: 			54.9		51.2		3.7

Line_Subject$ArrayTasks.txt: 		94.1		95.0		-0.9
Line_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Line_Subject$CharTasks.txt: 		100.0		100.0		0.0
Line_Subject$FilenameTasks.txt: 	48.9		50.0		-1.1
Line_Subject$GregorianTasks.txt: 	88.5		88.2		0.3
Line_Subject$NumberTasks.txt: 		42.5		34.3		8.2
Line_Subject$StringTasks.txt: 		77.6		78.3		-0.7
Line_Subject.txt: 			63.5		61.5		2.0


=========== randoop1 ===========
					soot		eclemma		diff
Stmt_Subject$ArrayTasks.txt: 		97.7		97.5		0.2
Stmt_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Stmt_Subject$CharTasks.txt: 		90.9		93.0		-2.1
Stmt_Subject$FilenameTasks.txt: 	49.7		49.6		0.1
Stmt_Subject$GregorianTasks.txt: 	81.9		83.1		-1.2
Stmt_Subject$NumberTasks.txt: 		38.1		38.4		-0.3
Stmt_Subject$StringTasks.txt: 		74.0		76.0		-2.0
Stmt_Subject.txt: 			59.1		62.0		-2.9

Branch_Subject$ArrayTasks.txt: 		95.4		95.5		-0.1
Branch_Subject$BooleanTasks.txt: 	100.0		100.0		0.0
Branch_Subject$CharTasks.txt: 		83.3		70.8		12.5
Branch_Subject$FilenameTasks.txt: 	39.7		34.7		5.0
Branch_Subject$GregorianTasks.txt: 	85.1		85.1		0.0
Branch_Subject$NumberTasks.txt: 	27.3		23.3		4.0
Branch_Subject$StringTasks.txt: 	70.3		63.2		7.1
Branch_Subject.txt: 			55.6		51.4		4.3

Line_Subject$ArrayTasks.txt: 		94.1		95.0		-0.9
Line_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Line_Subject$CharTasks.txt: 		100.0		100.0		0.0
Line_Subject$FilenameTasks.txt: 	48.9		50.0		-1.1
Line_Subject$GregorianTasks.txt: 	88.5		86.8		1.7
Line_Subject$NumberTasks.txt: 		42.5		34.3		8.2
Line_Subject$StringTasks.txt: 		77.6		78.3		-0.7
Line_Subject.txt: 			63.9		61.3		2.6

=========== randoop2 ===========
					soot		eclemma		diff
Stmt_Subject$ArrayTasks.txt: 		97.7		97.5		0.2
Stmt_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Stmt_Subject$CharTasks.txt: 		90.9		93.0		-2.1
Stmt_Subject$FilenameTasks.txt: 	49.7		49.6		0.1
Stmt_Subject$GregorianTasks.txt: 	81.9		83.1		-1.2
Stmt_Subject$NumberTasks.txt: 		38.1		38.4		-0.3
Stmt_Subject$StringTasks.txt: 		74.0		76.0		-2.0
Stmt_Subject.txt: 			58.2		62.0		-3.8

Branch_Subject$ArrayTasks.txt: 		95.4		95.5		-0.1
Branch_Subject$BooleanTasks.txt: 	100.0		100.0		0.0
Branch_Subject$CharTasks.txt: 		83.3		70.8		12.5
Branch_Subject$FilenameTasks.txt: 	39.7		34.7		5.0
Branch_Subject$GregorianTasks.txt: 	85.1		85.1		0.0
Branch_Subject$NumberTasks.txt: 	27.3		23.3		4.0
Branch_Subject$StringTasks.txt: 	70.3		63.2		7.1
Branch_Subject.txt: 			55.4		51.4		4.0

Line_Subject$ArrayTasks.txt: 		94.1		95.0		-0.9
Line_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Line_Subject$CharTasks.txt: 		100.0		100.0		0.0
Line_Subject$FilenameTasks.txt: 	48.9		50.0		-1.1
Line_Subject$GregorianTasks.txt: 	88.5		86.8		1.7
Line_Subject$NumberTasks.txt: 		42.5		34.3		8.2
Line_Subject$StringTasks.txt: 		77.6		78.3		-0.7
Line_Subject.txt: 			63.9		61.3		2.6

=========== randoop3 ===========
					soot		eclemma		diff
Stmt_Subject$ArrayTasks.txt: 		97.7		97.5		0.2
Stmt_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Stmt_Subject$CharTasks.txt: 		90.9		93.0		-2.1
Stmt_Subject$FilenameTasks.txt: 	49.7		49.6		0.1
Stmt_Subject$GregorianTasks.txt: 	79.8		81.9		-2.1
Stmt_Subject$NumberTasks.txt: 		38.1		38.4		-0.3
Stmt_Subject$StringTasks.txt: 		74.0		76.0		-2.0
Stmt_Subject.txt: 			59.7		61.8		-2.1

Branch_Subject$ArrayTasks.txt: 		95.4		95.5		-0.1
Branch_Subject$BooleanTasks.txt: 	100.0		100.0		0.0
Branch_Subject$CharTasks.txt: 		83.3		70.8		12.5
Branch_Subject$FilenameTasks.txt: 	39.7		34.7		5.0
Branch_Subject$GregorianTasks.txt: 	81.9		80.9		1.0
Branch_Subject$NumberTasks.txt: 	27.3		23.3		4.0
Branch_Subject$StringTasks.txt: 	70.3		63.2		7.1
Branch_Subject.txt: 			54.9		50.7		4.2

Line_Subject$ArrayTasks.txt: 		94.1		95.0		-0.9
Line_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Line_Subject$CharTasks.txt: 		100.0		100.0		0.0
Line_Subject$FilenameTasks.txt: 	48.9		50.0		-1.1
Line_Subject$GregorianTasks.txt: 	85.2		83.8		1.4
Line_Subject$NumberTasks.txt: 		42.5		34.3		8.1
Line_Subject$StringTasks.txt: 		77.6		78.3		-0.7
Line_Subject.txt: 			63.0		61.0		2.0

=========== randoop4 ===========
					soot		eclemma		diff
Stmt_Subject$ArrayTasks.txt: 		97.7		97.5		0.2
Stmt_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Stmt_Subject$CharTasks.txt: 		90.9		93.0		-2.1
Stmt_Subject$FilenameTasks.txt: 	49.7		49.6		0.1
Stmt_Subject$GregorianTasks.txt: 	68.7		68.3		0.4
Stmt_Subject$NumberTasks.txt: 		38.1		38.4		-0.3
Stmt_Subject$StringTasks.txt: 		72.0		74.4		-2.4
Stmt_Subject.txt: 			56.4		59.2		-2.8

Branch_Subject$ArrayTasks.txt: 		95.4		95.5		-0.1
Branch_Subject$BooleanTasks.txt: 	100.0		100.0		0.0
Branch_Subject$CharTasks.txt: 		83.3		70.8		12.5
Branch_Subject$FilenameTasks.txt: 	39.7		34.7		5.0
Branch_Subject$GregorianTasks.txt: 	78.7		78.7		0.0
Branch_Subject$NumberTasks.txt: 	27.3		23.3		4.0
Branch_Subject$StringTasks.txt: 	68.4		61.2		7.2
Branch_Subject.txt: 			53.8		49.8		4.0

Line_Subject$ArrayTasks.txt: 		94.1		95.0		-0.9
Line_Subject$BooleanTasks.txt: 		100.0		100.0		0.0
Line_Subject$CharTasks.txt: 		100.0		100.0		0.0
Line_Subject$FilenameTasks.txt: 	48.9		50.0		-1.1
Line_Subject$GregorianTasks.txt: 	70.4		69.1		1.3
Line_Subject$NumberTasks.txt: 		42.5		34.3		8.2
Line_Subject$StringTasks.txt: 		76.3		77.1		-0.8
